Date,Name,Close,High,Low,Open,Volume
10/16/2001,Golden Ocean Group Ltd,81.830477908,85.211902615,81.1541929666,83.4084761046,"164,800",
10/17/2001,Golden Ocean Group Ltd,82.0559062218,82.6420198377,81.3796212804,82.0559062218,"135,500",
10/18/2001,Golden Ocean Group Ltd,81.4247069432,83.4084761046,81.1541929666,82.0559062218,"129,300",
10/19/2001,Golden Ocean Group Ltd,81.8259693417,82.4165915239,80.9287646528,81.4472542831,"190,400",
10/22/2001,Golden Ocean Group Ltd,82.2813345356,83.4084761046,80.0383273219,81.4923399459,"161,900",
10/23/2001,Golden Ocean Group Ltd,79.035166817,80.703336339,77.9981965735,80.0270513977,"47,200",
10/24/2001,Golden Ocean Group Ltd,76.1947700631,79.8016230839,74.6167718665,79.3507664563,"62,000",
10/25/2001,Golden Ocean Group Ltd,77.3219116321,78.6744815149,74.6167718665,74.6167718665,"107,500",
10/26/2001,Golden Ocean Group Ltd,75.65374211,77.9981965735,74.8872858431,76.6456266907,"48,100",
10/29/2001,Golden Ocean Group Ltd,73.7150586114,75.9693417493,73.6699729486,75.7439134355,"112,600",
10/30/2001,Golden Ocean Group Ltd,74.7971145176,75.3381424707,73.03877367,73.7150586114,"69,700",
10/31/2001,Golden Ocean Group Ltd,74.7520288548,75.2479711452,72.6780883679,74.165915239,"58,400",
11/01/2001,Golden Ocean Group Ltd,73.7601442741,75.834084761,72.4075743913,74.165915239,"100,600",
11/02/2001,Golden Ocean Group Ltd,73.2642019838,74.3913435528,72.6330027051,72.6780883679,"35,800",
11/05/2001,Golden Ocean Group Ltd,72.6780883679,74.0757439134,72.3624887286,73.4896302976,"47,200",
11/06/2001,Golden Ocean Group Ltd,71.4156898106,73.3877321912,70.604147881,72.5879170424,"92,600",
11/07/2001,Golden Ocean Group Ltd,68.9810640216,70.9197475203,68.6654643823,70.8746618575,"102,200",
11/08/2001,Golden Ocean Group Ltd,72.1370604148,72.6780883679,68.8007213706,69.1614066727,"45,700",
11/09/2001,Golden Ocean Group Ltd,71.8665464382,73.2642019838,71.1451758341,72.1370604148,"61,000",
11/12/2001,Golden Ocean Group Ltd,71.6862037872,73.2642019838,71.3255184851,71.4156898106,"28,300",
11/13/2001,Golden Ocean Group Ltd,71.911632101,73.2642019838,71.4607754734,71.5058611362,"49,400",
11/14/2001,Golden Ocean Group Ltd,70.784490532,72.5879170424,70.3336339044,71.3255184851,"47,200",
11/15/2001,Golden Ocean Group Ltd,70.784490532,74.0306582507,69.6122633003,70.3336339044,"133,900",
11/16/2001,Golden Ocean Group Ltd,72.5879170424,72.5879170424,70.8295761948,71.3931469793,"61,400",
11/19/2001,Golden Ocean Group Ltd,72.1370604148,74.7520288548,71.0099188458,72.1370604148,"95,900",
11/20/2001,Golden Ocean Group Ltd,71.0099188458,71.6411181244,69.8827772768,71.4156898106,"57,200",
11/21/2001,Golden Ocean Group Ltd,70.784490532,71.5058611362,70.3336339044,70.784490532,"24,900",
11/23/2001,Golden Ocean Group Ltd,70.3336339044,71.2353471596,68.9810640216,70.1082055906,"48,400",
11/26/2001,Golden Ocean Group Ltd,69.3868349865,70.5590622182,69.1163210099,70.1983769161,"193,700",
11/27/2001,Golden Ocean Group Ltd,72.5879170424,72.5879170424,67.7186654644,68.8007213706,"137,900",
11/28/2001,Golden Ocean Group Ltd,72.091974752,73.219116321,71.2353471596,71.2804328224,"40,900",
11/29/2001,Golden Ocean Group Ltd,70.1983769161,72.2723174031,70.0631199279,72.1370604148,"85,100",
11/30/2001,Golden Ocean Group Ltd,73.6699729486,74.3913435528,70.0631199279,72.2948602344,"53,700",
12/03/2001,Golden Ocean Group Ltd,71.2804328224,74.0757439134,69.8827772768,72.8809783589,"69,600",
12/04/2001,Golden Ocean Group Ltd,71.2353471596,71.911632101,70.1532912534,71.6862037872,"49,900",
12/05/2001,Golden Ocean Group Ltd,70.3336339044,72.1370604148,68.169522092,69.2064923354,"100,400",
12/06/2001,Golden Ocean Group Ltd,70.5139765555,71.0099188458,68.1352569883,70.2434625789,"56,800",
12/07/2001,Golden Ocean Group Ltd,70.5590622182,72.1370604148,69.4319206492,69.7475202885,"55,600",
12/10/2001,Golden Ocean Group Ltd,69.7926059513,70.7394048693,68.9810640216,69.3417493237,"59,400",
12/11/2001,Golden Ocean Group Ltd,68.9810640216,70.2885482417,67.6284941389,69.8376916141,"83,200",
12/12/2001,Golden Ocean Group Ltd,69.6122633003,69.8827772768,67.9440937782,69.2064923354,"37,000",
12/13/2001,Golden Ocean Group Ltd,69.8827772768,70.3336339044,68.8458070334,70.3336339044,"35,700",
12/14/2001,Golden Ocean Group Ltd,69.4319206492,71.2353471596,69.0261496844,69.0712353472,"38,800",
12/17/2001,Golden Ocean Group Ltd,69.0712353472,70.2885482417,68.0793507665,69.4319206492,"105,100",
12/18/2001,Golden Ocean Group Ltd,69.2064923354,70.5590622182,68.3047790803,68.8007213706,"188,600",
12/19/2001,Golden Ocean Group Ltd,69.4319206492,70.964833183,68.3047790803,69.4319206492,"160,000",
12/20/2001,Golden Ocean Group Ltd,69.8827772768,71.0099188458,68.9810640216,68.9810640216,"182,900",
12/21/2001,Golden Ocean Group Ltd,70.8295761948,71.1902614968,69.4319206492,69.4319206492,"129,300",
12/24/2001,Golden Ocean Group Ltd,72.3624887286,72.3624887286,70.5590622182,71.6411181244,"58,800",
12/26/2001,Golden Ocean Group Ltd,71.1000901713,72.9486023445,71.1000901713,72.8133453562,"103,600",
12/27/2001,Golden Ocean Group Ltd,71.4607754734,72.4499594229,71.0550045086,71.1677186655,"92,800",
12/28/2001,Golden Ocean Group Ltd,73.03877367,76.7357980162,71.1550946799,71.2353471596,"161,000",
12/31/2001,Golden Ocean Group Ltd,72.5879170424,73.4896302976,71.4607754734,72.4977457169,"338,600",
01/02/2002,Golden Ocean Group Ltd,72.8133453562,73.3092876465,72.0468890893,73.3092876465,"64,600",
01/03/2002,Golden Ocean Group Ltd,73.399458972,75.0676284941,72.6330027051,73.1965779982,"115,000",
01/04/2002,Golden Ocean Group Ltd,76.3300270514,76.6456266907,73.3092876465,73.7601442741,"101,400",
01/07/2002,Golden Ocean Group Ltd,77.908025248,77.908025248,75.834084761,76.6456266907,"138,300",
01/08/2002,Golden Ocean Group Ltd,76.4201983769,78.4039675383,76.1947700631,77.9531109107,"64,000",
