Date,Name,Close,High,Low,Open,Volume
11/12/2003,GameStop Corp Class A,2.15875,2.1625,2.11,2.11,"351,300",
11/13/2003,GameStop Corp Class A,2.0875,2.14625,2.08375,2.14625,"280,800",
11/14/2003,GameStop Corp Class A,2.02125,2.0925,2,2.0875,"246,200",
11/17/2003,GameStop Corp Class A,2,2.03125,1.97125,2.02125,"268,600",
11/18/2003,GameStop Corp Class A,1.89375,2.05375,1.88,2,"672,500",
11/19/2003,GameStop Corp Class A,1.92625,1.9675,1.89375,1.925,"286,800",
11/20/2003,GameStop Corp Class A,2.0275,2.08125,1.95625,1.95625,"789,800",
11/21/2003,GameStop Corp Class A,2.02125,2.0725,2.0125,2.0525,"203,600",
11/24/2003,GameStop Corp Class A,2.05875,2.08125,2.025,2.04375,"226,500",
11/25/2003,GameStop Corp Class A,2.01625,2.0775,2.0125,2.07,"256,000",
11/26/2003,GameStop Corp Class A,2.02,2.06875,2.01375,2.0225,"188,500",
11/28/2003,GameStop Corp Class A,2.01875,2.03625,2.01375,2.025,"95,700",
12/01/2003,GameStop Corp Class A,1.99875,2.04375,1.97375,2.04375,"446,000",
12/02/2003,GameStop Corp Class A,1.90625,1.9875,1.88875,1.9875,"594,800",
12/03/2003,GameStop Corp Class A,1.9125,1.94375,1.9075,1.925,"454,500",
